site_number	state	sequence_number	attendance_schedule
03941.5*A	GA	2	ALL/S-S/0800-1800
03941.51*H	GA	1	ALL/ALL/ALL
03941.54*A	GA	1	UNATNDD
03941.61*A	GA	1	UNATNDD
03946.*A	GA	1	ALL/ALL/0900-1700
03946.5*H	GA	1	UNATNDD
03948.*A	GA	1	UNATNDD
03950.02*A	GA	1	UNATNDD
03952.*A	GA	1	UNATNDD
03956.*A	GA	1	ALL/ALL/0800-1800
03958.26*A	GA	1	ALL/ALL/0900-1700
03958.29*A	GA	1	ALL/ALL/ALL
03958.4*A	GA	1	ALL/MON-SAT/0800-1700
03958.6*A	GA	1	ALL/MON-FRI/0900-1800
03958.66*A	GA	1	UNATNDD
03959.*A	GA	1	UNATTENDED
03961.*H	GA	1	ALL/ALL/DALGT
03962.11*A	GA	1	UNATNDD
03963.1*C	GA	1	UNATNDD
03963.25*A	GA	1	UNATNDD
03964.1*A	GA	1	ALL/ALL/0830-1730
03968.*H	GA	1	ALL/ALL/ALL
03972.*A	GA	1	ALL/MON-SAT/0800-1700
03973.*A	GA	1	UNATNDD
03974.*A	GA	1	ALL/ALL/0700-2000
03975.7*A	GA	1	UNATNDD
03978.01*H	GA	1	UNATNDD
03978.02*H	GA	1	UNATNDD
03987.2*A	GA	1	ALL/MON-FRI/0800-1700
03987.21*H	GA	1	UNATNDD
03991.*A	GA	1	ALL/ALL/ALL
03992.*A	GA	1	ALL/ALL/0600-2300
03992.01*H	GA	1	UNATNDD
03992.1*H	GA	1	ALL/ALL/ALL
03992.13*A	GA	1	ALL/ALL/ALL
03992.14*A	GA	1	UNATNDD
03995.5*A	GA	1	UNATNDD
03996.*A	GA	1	UNATNDD
03996.71*A	GA	1	UNATNDD
03996.9*A	GA	1	UNATNDD
03996.91*A	GA	1	ALL/ALL/ALL
04001.31*H	GA	1	ALL/ALL/ALL
04006.*A	GA	1	IREG
04006.01*H	GA	1	UNATNDD
04006.02*H	GA	1	UNATNDD
04007.7*A	GA	1	UNATNDD
04008.5*A	GA	1	UNATNDD
04008.51*A	GA	1	UNATNDD
04013.*A	GA	1	ALL/ALL/ALL
04017.*A	GA	1	ALL/MON-FRI/0800-1900
04017.*A	GA	2	ALL/SAT-SUN/0900-1700
04017.02*H	GA	1	UNATNDD
04017.1*A	GA	1	UNATNDD
04023.11*A	GA	1	IREG
04023.12*H	GA	1	UNATNDD
04023.21*A	GA	1	ALL/ALL/IREG
04024.1*H	GA	1	UNATNDD
04024.15*H	GA	1	UNATNDD
04024.19*A	GA	1	ALL/ALL/0700-2000
04024.2*H	GA	1	UNATNDD
04025.*A	GA	1	UNATNDD
04025.5*A	GA	1	UNATNDD
04025.7*A	GA	1	ALL/ALL/DALGT
04026.*A	GA	1	ALL/MON-SAT/0800-1700
04026.01*H	GA	1	ALL/MON-FRI/0800-1700
04029.*A	GA	1	ALL/ALL/0800-1700
04029.01*A	GA	1	UNATNDD
04029.02*H	GA	1	UNATNDD
04031.1*A	GA	1	UNATNDD
04031.2*A	GA	1	UNATNDD
04037.01*A	GA	1	UNATNDD
04037.6*A	GA	1	UNATNDD
04039.*A	GA	1	UNATNDD
04040.*A	GA	1	ALL/ALL/IREG
04047.*A	GA	1	ALL/ALL/0800-1800
04051.*A	GA	1	ALL/MON-FRI/0600-2000
04051.*A	GA	2	ALL/SAT-SUN/0700-1900
04055.1*A	GA	2	ALL/ALL/0800-1700
04057.*A	GA	5	ALL/MON-FRI/0700-1800
04057.*A	GA	6	ALL/SAT-SUN/0800-1800
04059.*A	GA	1	ALL/MON-SAT/0900-1800
04059.*A	GA	2	ALL/SUN/1200-1800
04062.*A	GA	1	ALL/THU-MON/0900-1800
04062.01*H	GA	1	UNATNDD
04063.*A	GA	1	UNATNDD
04064.*A	GA	1	UNATNDD
04066.5*A	GA	1	IREG
04068.*H	GA	1	ALL/ALL/ALL
04071.*A	GA	1	ALL/ALL/0600-2200
04071.19*H	GA	1	UNATNDD
04071.3*A	GA	1	ALL/ALL/DALGT
04071.4*A	GA	1	UNATNDD
04071.5*A	GA	1	UNATNDD
04072.*A	GA	3	ALL/MON-THU/1300-0600Z
04072.*A	GA	4	ALL/FRI/1300-0000Z
04073.*A	GA	1	UNATNDD
04074.*A	GA	1	ALL/ALL/0800-1800
04082.*A	GA	1	ALL/ALL/DALGT
04082.01*A	GA	1	UNATNDD
04082.02*H	GA	1	UNATNDD
04082.03*A	GA	1	UNATNDD
04083.*A	GA	1	UNATNDD
04086.*A	GA	1	UNATNDD
04087.1*A	GA	1	UNATTENDED
04088.*A	GA	1	ALL/MON-FRI/0500-2300
04088.*A	GA	2	ALL/SAT-SUN & HOLS/0600-2200
04091.2*A	GA	2	ALL/MON-FRI/0800-1700
04091.21*H	GA	1	UNATNDD
04093.*A	GA	1	UNATNDD
04095.*A	GA	1	APR-SEP/ALL/0800-2000
04095.*A	GA	2	OCT-MAR/ALL/0700-1900
04095.01*H	GA	1	ALL/ALL/ALL
04095.3*A	GA	1	UNATNDD
04099.1*A	GA	1	UNATNDD
04099.11*H	GA	1	UNATNDD
04099.12*H	GA	1	UNATNDD
04099.13*A	GA	1	UNATNDD
04099.14*A	GA	1	UNATNDD
04104.*A	GA	1	UNATNDD
04104.01*A	GA	1	IREG
04104.02*A	GA	1	UNATNDD
04104.03*A	GA	1	IREG
04104.04*A	GA	1	IREG
04106.*A	GA	1	ALL/ALL/0900-1800
04106.01*A	GA	1	IREG
04106.1*A	GA	1	IREG
04109.*A	GA	3	ALL/M-F/0900-1800
04109.*A	GA	4	ALL/SAT/0900-1700
04109.*A	GA	5	ALL/SUN/1100-1700
04109.01*H	GA	1	UNATNDD
04112.4*A	GA	1	UNATNDD
04112.7*A	GA	1	UNATNDD
04112.8*A	GA	2	UNATNDD
04114.*A	GA	1	UNATNDD
04116.*A	GA	1	UNATNDD
04117.*A	GA	1	UNATNDD
04120.*A	GA	1	UNATNDD
04120.1*A	GA	1	ALL/ALL/DALGT
04120.2*A	GA	1	UNATNDD
04125.*A	ID	1	JAN-DEC/MON-SUN/DALGT
04127.*H	ID	1	ON CALL
04134.*A	ID	1	ALL/ALL/0800-1800
04138.*A	ID	2	ALL/ALL/0800-2000
04141.25*A	ID	1	UNATNDD
04141.251*A	ID	1	UNATNDD
04141.3*A	ID	1	UNATNDD
04141.31*A	ID	1	UNATNDD
04141.311*A	ID	1	UNATNDD
04141.312*H	ID	1	UNATNDD
04141.5*A	ID	1	UNATNDD
04141.6*A	ID	1	UNATNDD
04141.7*A	ID	1	UNATNDD
04142.*A	ID	1	UNATNDD
04142.25*A	ID	1	UNATNDD
04142.3*A	ID	1	UNATNDD
04142.5*A	ID	1	UNATNDD
04142.51*A	ID	1	UNATNDD
04142.6*H	ID	1	JUN-OCT/ALL/DALGT
04146.*A	ID	1	ALL/MON-SAT/0800-1700
04148.*A	ID	1	UNATNDD
04148.21*H	ID	1	UNATNDD
04148.22*H	ID	1	ALL/MON-SAT/0800-1700
04148.23*H	ID	1	UNATNDD
04148.25*H	ID	1	ALL/ALL/ON CALL
04148.3*A	ID	1	UNATNDD
04149.*A	ID	1	ALL/ALL/ALL
04153.*A	ID	2	ALL/MON-FRI/0800-1700
04153.*A	ID	3	ALL/SAT/0800-1600
04154.51*A	ID	1	UNATNDD
04155.1*A	ID	1	ALL/ALL/0830-1700
04158.*A	ID	1	MAY-OCT/ALL/0800-1700
04158.*A	ID	2	NOV-APR/MON-FRI/0800-1700
04158.*A	ID	3	NOV-APR/SAT/0800-1200
04161.01*A	ID	1	MAR-OCT/ALL/0800-1900
04161.01*A	ID	2	NOV-FEB/ALL/0800-1700
04161.02*H	ID	1	UNATNDD
04161.13*A	ID	1	UNATNDD
04161.3*A	ID	1	UNATNDD
04162.*A	ID	1	UNATNDD
04163.4*A	ID	1	UNATNDD
04163.6*A	ID	1	UNATNDD
04164.*A	ID	1	UNATNDD
04164.01*H	ID	1	ALL/ALL/ALL
04164.02*A	ID	1	JUN-NOV/ALL/ALL
04164.1*A	ID	1	DEC-APR/ALL/0900-1700
04164.1*A	ID	2	MAY-NOV/ALL/0800-1800
04164.2*A	ID	1	APR-DEC/ALL/ALL
04164.2*A	ID	2	JAN-MAR/IREG/IREG
04164.21*A	ID	1	UNATNDD
04164.3*A	ID	1	UNATNDD
04165.*C	ID	1	APR-OCT/ALL/DAWN-DUSK
04165.3*A	ID	1	UNATNDD
04166.*A	ID	1	UNATNDD
04167.*A	ID	1	ALL/MON-FRI/0700-1700
04167.1*A	ID	1	UNATNDD
04167.11*A	ID	1	UNATNDD
04167.12*H	ID	1	UNATNDD
04170.*A	ID	1	UNATNDD
04172.1*A	ID	2	UNATNDD
04172.11*A	ID	1	UNATNDD
04172.12*A	ID	1	UNATNDD
04172.13*A	ID	1	ON CALL
04172.14*A	ID	1	UNATNDD
04172.5*A	ID	1	UNATNDD
04176.1*C	ID	1	MAR-OCT/ALL/0900-DUSK
04176.11*A	ID	1	UNATNDD
04176.12*A	ID	1	UNATNDD
04176.13*H	ID	1	ALL/ALL/ALL
04176.14*H	ID	1	UNATNDD
04176.15*A	ID	1	UNATNDD
04176.16*A	ID	1	UNATNDD
04176.17*H	ID	1	ON CALL
04176.18*H	ID	1	ON CALL
04176.19*H	ID	1	ALL/MON-FRI/0800-1700
04176.2*A	ID	1	UNATNDD
04176.21*A	ID	1	UNATNDD
04176.22*H	ID	1	ALL/ALL/ALL
04177.*A	ID	1	ALL/MON-FRI/0700-1700
04178.*A	ID	1	UNATNDD
04178.2*A	ID	1	JUN-AUG/THU-MON/0800-1700
04178.3*A	ID	1	IREG
04178.6*A	ID	1	UNATNDD
04178.61*A	ID	1	UNATNDD
04178.612*A	ID	1	UNATNDD
04178.7*A	ID	1	UNATNDD
04179.*A	ID	1	UNATNDD
04179.01*A	ID	1	UNATNDD
04179.1*A	ID	1	UNATNDD
04182.*A	ID	1	UNATNDD
04182.01*A	ID	1	UNATNDD
04183.*A	ID	1	UNATNDD
04184.*A	ID	1	OCT-MAY/ALL/0800-1700
04184.*A	ID	2	JUN-SEP/ALL/0700-1900
04185.*A	ID	1	UNATNDD
04186.02*H	ID	1	UNATNDD
04187.4*A	ID	1	UNATNDD
04188.1*A	ID	1	UNATNDD
04188.12*A	ID	1	ALL/ALL/ALL
04189.1*A	ID	1	UNATNDD
04191.*A	ID	2	UNATNDD
04191.1*A	ID	1	UNATNDD
04191.12*H	ID	1	UNATNDD
04193.*A	ID	1	UNATNDD
04193.4*A	ID	1	UNATNDD
04193.5*A	ID	1	UNATNDD
04194.15*A	ID	1	UNATNDD
04194.9*A	ID	1	UNATNDD
04195.4*A	ID	1	UNTNDD
04196.31*A	ID	1	UNATNDD
04196.32*H	ID	1	UNATNDD
04197.*A	ID	1	UNATNDD
04197.01*H	ID	1	UNATNDD
04201.*A	ID	1	ALL/ALL/0800-1700
04201.02*H	ID	1	UNATNDD
04202.1*A	ID	1	UNATNDD
04204.*A	ID	1	UNATNDD
04204.01*A	ID	1	ALL/ALL/DALGT
04204.02*A	ID	1	UNATNDD
04204.03*A	ID	1	IREG
04204.3*A	ID	1	UNATNDD
04206.*A	ID	1	ALL/ALL/DAWN-DUSK
04206.8*A	ID	1	UNATNDD
04206.86*H	ID	1	ALL/ALL/ON CALL
04206.87*A	ID	1	IREG
04207.*A	ID	1	UNATNDD
04207.6*A	ID	1	UNATNDD
04208.05*A	ID	1	UNATNDD
04208.2*A	ID	1	UNATNDD
04208.21*A	ID	1	UNATNDD
04208.3*A	ID	1	UNATNDD
04208.31*H	ID	1	UNATNDD
04208.55*A	ID	1	UNATNDD
04208.7*H	ID	1	UNATNDD
04208.9*A	ID	1	UNATNDD
04208.91*H	ID	1	UNATNDD
04208.92*A	ID	1	UNATNDD
04209.*A	ID	1	ALL/ALL/0530-2130
04209.02*H	ID	1	ALL/ALL/ALL
04209.2*A	ID	1	UNATNDD
04214.*A	ID	1	UNATNDD
04214.2*A	ID	1	UNATNDD
04214.5*A	ID	1	UNATNDD
04214.7*A	ID	1	UNATNDD
04215.*A	ID	1	ALL/ALL/0800-1700
04218.*A	ID	1	ALL/ALL/IRREG
04224.1*A	ID	1	ALL/ALL/DALGT
04225.3*A	ID	1	UNATNDD
04225.31*H	ID	1	ALL/ALL/DAWN-DUSK
04225.33*H	ID	1	UNATNDD
04226.*A	ID	1	UNATNDD
04226.9*H	ID	1	UNATNDD
04228.5*A	ID	1	UNATNDD
04228.9*A	ID	1	UNATNDD
04228.91*A	ID	1	UNATNDD
04228.93*A	ID	1	UNATNDD
04229.5*A	ID	1	UNATNDD
04230.*A	ID	1	UNATNDD
04230.9*A	ID	1	UNATNDD
04232.6*A	ID	1	UNATNDD
04234.*A	ID	1	ALL/ALL/0530-2100
04234.02*H	ID	1	ALL/ALL/ALL
04234.03*C	ID	1	APR-OCT/ALL/0700-DUSK
04234.03*C	ID	2	NOV-MAR/IREG/IREG
04235.*A	ID	1	UNATNDD
04236.*A	ID	1	MAY-SEP/ALL/0800L-1800L
04236.*A	ID	2	OCT-APR/ALL/0900L-1600L
04236.02*A	ID	1	UNATNDD
04236.03*A	ID	1	UNATNDD
04236.1*A	ID	1	UNATNDD
04236.16*H	ID	1	MAY-NOV/ALL/DAYLIGHT
04242.*A	ID	1	UNATNDD
04242.01*A	ID	1	UNATNDD
04242.1*A	ID	1	UNATNDD
04242.11*A	ID	1	UNATNDD
04244.5*A	ID	1	UNATNDD
04246.*A	ID	2	UNATNDD
04249.*A	ID	1	UNATNDD
04249.01*A	ID	1	ALL/ALL/ALL
04251.*A	ID	1	UNATNDD
04251.1*A	ID	1	UNATNDD
04252.*A	ID	1	UNATNDD
04254.*H	ID	1	ALL/ALL/ALL
04255.*A	ID	1	UNATNDD
04255.01*A	ID	1	UNATNDD
04256.5*A	ID	1	UNATNDD
04261.*H	ID	1	UNATNDD
04262.*G	ID	1	UNATNDD
04262.1*A	ID	1	UNATNDD
04263.*A	ID	1	UNATNDD
04265.*A	ID	1	UNATNDD
04265.01*A	ID	1	UNATNDD
04265.04*H	ID	1	UNATNDD
04268.*A	ID	1	ALL
04269.*A	ID	1	ALL/MON-FRI/0800-1700
04269.01*H	ID	1	UNATNDD
04269.02*A	ID	1	UNATNDD
04270.5*A	ID	1	MAY-OCT/ALL/0800-1700
04270.5*A	ID	2	NOV-APR/IREG/IREG
04271.*A	ID	1	UNATNDD
04273.*A	ID	2	UNATNDD
04273.01*A	ID	1	UNATNDD
04273.03*A	ID	1	UNATTND
04275.*A	ID	2	ALL/ALL/0800-1700
04275.02*A	ID	1	UNATNDD
04275.03*A	ID	1	UNATNDD
04275.5*A	ID	1	UNATNDD
04275.9*A	ID	1	APR-OCT/MON-FRI/0800-1700
04275.9*A	ID	2	NOV-MAR/IREG/IREG
04277.1*A	ID	1	UNATNDD
04277.12*H	ID	1	UNATNDD
04277.5*A	ID	1	UNATNDD
04277.7*H	ID	1	UNATNDD
04278.*A	ID	2	UNATNDD
04278.01*A	ID	1	UNATNDD
04278.02*H	ID	1	UNATNDD
04278.5*A	ID	1	UNATNDD
04279.*U	ID	1	APR-NOV/IREG/IREG
04280.*A	ID	1	ALL/ALL/ALL
04282.*A	ID	1	UNATTENDED
04284.*A	ID	1	UNATNDD
04285.1*A	ID	1	ALL/MON-SAT/0800-1800
04285.7*A	ID	1	UNATNDD
04286.*A	ID	1	UNATNDD
04287.*A	ID	1	UNATNDD
04288.*A	ID	1	ALL/ALL/0600-2000
04288.01*H	ID	1	UNATNDD
04294.01*A	ID	1	UNATNDD
04294.51*A	ID	1	UNATNDD
04294.52*H	ID	1	ALL/ALL/ALL
04295.*A	ID	1	UNATNDD
04296.*A	ID	1	ALL/ALL/DALGT
04302.*A	ID	1	UNATNDD
04302.1*A	ID	1	UNATNDD
04302.11*A	ID	1	UNATNDD
04302.13*A	ID	1	IREG
04302.14*A	ID	1	UNATNDD
04305.1*A	ID	1	ALL/MON-SAT/0800-1800
04308.*A	ID	1	UNATNDD
04308.01*H	ID	1	UNATNDD
04308.16*A	ID	1	ALL/ALL/ALL
04308.65*A	ID	1	UNATNDD
04310.01*H	ID	1	ALL/ALL/ALL
04311.2*A	ID	1	MAR-NOV/ALL/0600-2200
04314.*A	ID	1	UNATTENDED
04320.*A	ID	2	UNATNDD
04320.01*A	ID	1	IREG
04320.02*H	ID	1	ALL/ALL/ALL
04323.*A	ID	1	ALL/ALL/0800-1700
04323.01*A	ID	1	UNATNDD
04323.03*A	ID	1	UNATNDD
04326.*A	ID	1	SUMMER/ALL/0700-1700
04326.*A	ID	2	WINTER/ALL/0800-1700
04326.01*A	ID	1	ON-CALL
04326.02*A	ID	1	UNATNDD
04326.04*A	ID	1	UNATNDD
04326.05*A	ID	1	UNATNDD
04326.06*A	ID	1	UNATNDD
04326.07*A	ID	1	UNATNDD
04326.1*C	ID	1	MAY-OCT/ALL/DAWN-DUSK
04329.*A	ID	1	UNATNDD
04332.*A	ID	1	UNATNDD
04334.*A	ID	1	UNATNDD
04334.01*A	ID	1	UNATNDD
04335.*A	ID	1	UNATNDD
04338.*A	ID	1	UNATNDD
04338.75*A	ID	1	UNATNDD
04340.51*A	ID	1	UNATNDD
04340.52*A	ID	1	UNATNDD
04340.53*A	ID	1	UNATNDD
04340.6*A	ID	1	UNATNDD
04340.76*A	ID	1	UNATNDD
04341.7*H	ID	1	DEC-MAY/ALL/0700-DUSK
04342.5*A	ID	1	UNATNDD
04343.2*A	ID	1	UNATNDD
04343.4*A	ID	1	UNATNDD
04344.1*A	ID	1	ALL/ALL/0630-2000
04345.03*H	ID	1	UNATNDD
04345.04*H	ID	1	ALL/ALL/ALL
04347.1*H	ID	1	UNATTND
04352.1*A	ID	1	UNATNDD
04352.8*A	ID	1	IREG
04353.*A	ID	1	ALL/ALL/ALL
04353.01*A	ID	1	UNATNDD
04355.*A	ID	1	UNATNDD
04360.1*A	ID	1	UNATNDD
04360.11*A	ID	1	UNATNDD
04360.2*A	ID	1	JUN-AUG/THU-MON/0800-1700
04363.*A	IL	1	UNATNDD
04366.*A	IL	1	ALL/ALL/0800-1700
04366.01*H	IL	1	ALL/ALL/ALL
04368.8*A	IL	1	IREG
04369.*A	IL	1	UNATNDD
04371.2*H	IL	1	IREG
04372.*A	IL	1	ALL/ALL/0700-2200
04372.02*H	IL	1	UNATNDD
04372.03*H	IL	1	ALL/ALL/ALL
04373.31*A	IL	1	UNATNDD
04374.7*H	IL	1	ALL/ALL/ALL
04377.1*A	IL	1	UNATNDD
04377.11*A	IL	1	UNATNDD
04379.01*A	IL	4	UNATTND
04381.01*A	IL	1	UNATNDD
04382.26*A	IL	1	UNATNDD
04382.4*H	IL	1	ALL/ALL/ALL
04388.*A	IL	1	UNATNDD
04388.01*A	IL	1	IREG
04401.17*H	IL	1	ALL/ALL/ALL
04401.18*H	IL	1	UNATNDD
04404.02*H	IL	1	ALL/ALL/ALL
04407.5*H	IL	1	UNATNDD
04409.*H	IL	1	UNATNDD
04411.11*A	IL	1	UNATNDD
04411.21*A	IL	1	UNATNDD
04412.*A	IL	1	UNATNDD
04412.1*A	IL	1	UNATNDD
04412.11*H	IL	1	UNATNDD
04413.*A	IL	1	ALL/ALL/ALL
04417.03*A	IL	1	UNATNDD
04417.06*A	IL	1	UNATNDD
04417.07*A	IL	1	UNATNDD
04417.08*A	IL	1	UNATNDD
04418.*A	IL	1	UNATNDD
04426.*A	IL	1	IREG
04427.*A	IL	1	UNATTND
04427.05*H	IL	1	ALL/ALL/ALL
04427.7*A	IL	1	UNATNDD
04428.31*A	IL	1	UNATNDD
04429.7*A	IL	1	UNATNDD
04431.*A	IL	1	ALL/ALL/0400L-2400L
04431.1*H	IL	1	UNATNDD
04431.12*A	IL	1	UNATNDD
04431.14*H	IL	1	UNATNDD
04434.*A	IL	1	UNATNDD
04434.1*A	IL	1	UNATNDD
04434.2*A	IL	1	UNATNDD
04444.*A	IL	1	ALL/ALL/0700-1800
04445.*H	IL	1	ALL/ALL/ALL
04448.*A	IL	1	UNATNDD
04450.*A	IL	1	UNATNDD
04451.*H	IL	1	ALL/ALL/ALL
04452.9*H	IL	1	ALL/ALL/ALL
04454.63*A	IL	1	ALL/ALL/ALL
04455.*H	IL	1	UNATNDD
04456.7*A	IL	1	UNATNDD
04457.3*H	IL	1	UNATNDD
04457.44*A	IL	1	UNATNDD
04457.61*A	IL	1	UNATNDD
04457.65*A	IL	1	UNATNDD
04458.8*A	IL	1	ALL/ALL/ALL
04459.1*A	IL	1	ALL/MON-SAT/0900-1700
04459.1*A	IL	2	ALL/SUN/IRREG
04459.11*A	IL	1	UNATNDD
04459.9*A	IL	1	UNATNDD
04461.6*A	IL	1	UNATNDD
04463.1*A	IL	1	ALL/ALL/0700-DUSK
04463.11*H	IL	1	ALL/ALL/ALL
04467.*A	IL	1	UNATNDD
04467.4*A	IL	1	UNATNDD
04477.*A	IL	1	ALL/ALL/ALL
04477.01*H	IL	1	ALL/ALL/ALL
04479.13*A	IL	1	UNATNDD
04479.14*H	IL	2	ALL/ALL/ALL
04480.12*A	IL	2	ALL/MON-SAT/0700-1700
04480.12*A	IL	3	ALL/SUN/0700-1700
04484.01*H	IL	1	IREG
04485.14*A	IL	1	UNATNDD
04485.16*A	IL	1	IREG
04485.17*H	IL	1	ALL/ALL/ALL
04485.2*A	IL	1	UNATNDD
04485.21*A	IL	1	UNATNDD
04486.1*H	IL	1	ALL/MON-FRI/0800-1630
04487.*A	IL	1	ALL/MON-SAT/0800-1700
04490.*A	IL	1	ALL/ALL/0800-DUSK
04490.03*H	IL	1	ALL/ALL/ALL
04490.04*H	IL	1	UNATNDD
04490.5*H	IL	1	ALL/ALL/ALL
04491.07*A	IL	1	UNATNDD
04493.12*A	IL	1	UNATNDD
04494.*A	IL	1	ALL/ALL/ALL
04494.26*G	IL	1	UNATNDD
04495.5*A	IL	1	IREG
04495.8*H	IL	1	ALL/ALL/ALL
04499.5*U	IL	1	IREG
04500.01*A	IL	1	UNATNDD
04500.012*A	IL	1	UNATNDD
04500.52*H	IL	1	ALL/ALL/ALL
04503.*A	IL	1	ALL/ALL/ALL
04503.03*H	IL	1	IRREG
04503.04*A	IL	1	ALL/ALL/0700-2100
04503.05*H	IL	1	ALL/ALL/ALL
04503.06*H	IL	1	UNATNDD
04503.8*H	IL	1	ALL/ALL/ALL
04504.01*H	IL	1	ALL/ALL/ALL
04504.27*H	IL	1	ALL/ALL/0600-2300
04505.7*H	IL	1	UNATNDD
04505.9*H	IL	1	ALL/ALL/ALL
04506.*A	IL	1	ALL/ALL/0600-2400
04506.51*H	IL	1	ALL/ALL/ALL
04506.53*H	IL	1	UNATTENDED
04506.54*H	IL	1	ALL/ALL/ALL
04507.*A	IL	1	ALL/ALL/ALL
04508.*A	IL	1	ALL/ALL/ALL
04508.1*A	IL	1	ALL/ALL/ALL
04508.2*A	IL	3	MAY-OCT/MON-SUN/0800-1700
04508.2*A	IL	4	NOV-APR/MON-SUN/0900-1600
04508.3*H	IL	1	UNATNDD
04508.6*A	IL	1	ALL/ALL/ALL
04518.*A	IL	1	ALL/ALL/0700-1500
04518.1*H	IL	1	ALL/ALL/ALL
04518.8*A	IL	1	OCT-APR/ALL/0700-1900
04518.8*A	IL	2	MAY-SEP/ALL/0700-2000
04518.81*H	IL	1	UNATNDD
04532.8*A	IL	1	ALL/ALL/ALL
04533.1*A	IL	1	IREG
04533.2*A	IL	1	ALL/IREG/IREG
04533.21*H	IL	1	ALL/ALL/ALL
04533.22*A	IL	1	IREG
04539.*H	IL	1	ALL/ALL/ALL
04540.*A	IL	1	UNATNDD
04542.01*A	IL	1	UNATNDD
04543.*A	IL	1	ALL/ALL/0800-DUSK
04543.1*A	IL	1	IREG
04543.2*A	IL	1	ALL/ALL/ALL
04544.7*A	IL	1	UNATNDD
04545.33*A	IL	1	UNATNDD
04545.9*H	IL	1	ALL/ALL/ALL
04548.7*A	IL	1	ALL/ALL/ALL
04555.1*C	IL	1	UNATNDD
04555.11*H	IL	1	UNATNDD
04556.5*A	IL	1	UNATNDD
04559.*A	IL	1	UNATNDD
04560.1*A	IL	1	ALL/ALL/ALL
04562.1*A	IL	1	ALL/ALL/0700-2200
04562.22*A	IL	1	UNATNDD
04562.23*H	IL	1	UNATNDD
04562.29*H	IL	1	IREG
04562.31*H	IL	1	UNATNDD
04562.32*H	IL	1	ALL/ALL/ALL
04562.8*A	IL	1	UNATNDD
04564.*A	IL	1	ALL/MON-FRI/ALL
04564.*A	IL	2	ALL/SAT SUN/0700-2130
04564.01*H	IL	1	ALL/ALL/ALL
04564.02*H	IL	1	ALL/ALL/ALL
04564.03*H	IL	1	UNATNDD
04564.04*H	IL	1	ALL/ALL/0800-1630
04565.*A	IL	1	ALL/ALL/IREG
04567.*A	IL	1	ALL/ALL/0730-1730
04567.02*H	IL	1	UNATNDD
04567.04*A	IL	1	UNATNDD
04567.06*A	IL	1	UNATNDD
04567.07*A	IL	1	ALL/IREG/
04567.1*A	IL	1	UNATNDD
04573.11*H	IL	1	UNATNDD
04581.*A	IL	1	ALL/MON-FRI/0800-1700
04581.*A	IL	2	ALL/SAT/0800-1200
04581.*A	IL	3	ALL/SUN/ON CALL
04581.02*H	IL	1	UNATNDD
04581.05*H	IL	1	ALL/ALL/ALL
04585.*A	IL	1	UNATNDD
04585.01*H	IL	1	UNATNDD
04586.01*A	IL	1	UNATNDD
04587.*A	IL	1	UNATNDD
04588.1*H	IL	1	ALL/ALL/ALL
04588.2*A	IL	1	ALL/ALL/ALL
04593.1*H	IL	1	UNATNDD
04594.01*A	IL	1	APR-NOV/MON-SAT/0800-1600
04594.02*H	IL	1	UNATNDD
04594.03*A	IL	1	UNATNDD
04596.1*A	IL	1	UNATNDD
04596.11*A	IL	1	UNATNDD
04596.12*A	IL	1	UNATNDD
04596.13*A	IL	1	IREG
04601.*A	IL	1	UNATNDD
04601.115*A	IL	1	IREG
04603.1*U	IL	1	ALL/ALL/IREG
04611.*A	IL	1	ALL/ALL/ALL
04614.*A	IL	1	ALL/ALL/0800-1700
04614.04*H	IL	1	ALL/ALL/ALL
04614.05*H	IL	1	ALL/ALL/ALL
04614.07*A	IL	1	UNATNDD
04618.01*H	IL	1	UNATNDD
04618.05*H	IL	1	ALL/ALL/ALL
04618.06*H	IL	1	ALL/ALL/ALL
04618.5*H	IL	1	ALL/ALL/ALL
04620.*H	IL	1	UNATNDD
04620.02*H	IL	1	ALL/ALL/ALL
04620.2*A	IL	1	ALL/ALL/DYLGT
04621.*A	IL	1	IREG
04621.2*A	IL	1	UNATNDD
04622.6*A	IL	1	UNATNDD
04624.6*A	IL	1	UNATNDD
04625.21*U	IL	1	ALL/MON-FRI/SR-SS
04625.72*A	IL	1	UNATNDD
04625.8*U	IL	1	IREG
04631.*A	IL	1	UNATNDD
04634.11*A	IL	1	IREG
04634.17*A	IL	1	UNATNDD
04635.1*A	IL	1	ALL/ALL/0800-1600
04635.11*A	IL	1	UNATNDD
04635.12*H	IL	1	UNATNDD
04639.02*A	IL	1	UNATNDD
04640.*A	IL	1	UNATNDD
04648.41*A	IL	1	UNATNDD
04649.*A	IL	1	UNATNDD
04650.1*A	IL	1	ALL/MON-FRI/0800-1630
04650.12*H	IL	1	ALL/ALL/ALL
04654.41*H	IL	1	UNATNDD
04654.42*H	IL	1	UNATNDD
04656.*A	IL	1	UNATNDD
04660.*A	IL	1	ALL/MON-FRI/0800-1700
04660.*A	IL	2	ALL/SAT/0900-1500
04660.01*H	IL	1	UNATNDD
04660.02*A	IL	1	ALL/ALL/IREG
04663.*H	IL	1	IREG
04664.12*A	IL	1	IREG
04664.14*H	IL	1	ALL/ALL/ALL
04667.1*A	IL	1	ALL/SAT-SUN/0700-1900
04667.1*A	IL	2	ALL/MON-FRI/0600-2030
